"","Year","Product","Export_mil","Export_percentage"
"143",2017,"Poultry & Eggs",10183.318,3.71428376135284
"144",2017,"Vegetables",14612.552,5.3298114234991
"145",2018,"Cotton",13258.3560706022,4.7848328383458
"146",2018,"Fruits & Nuts",34268.196,12.3671131366909
"147",2018,"Grains & Feed",63882.3339885477,23.0546146016045
"148",2018,"Meat & Animal Products",50638.352000422,18.2749692526796
"149",2018,"Non-commodity crops",36790.0699842118,13.2772369400923
"150",2018,"Oilseeds",54114.351583504,19.5294292221237
"151",2018,"Poultry & Eggs",10282.8319935993,3.71099040726939
"152",2018,"Vegetables",13856.819999225,5.00081360119386
"153",2019,"Cotton",12426.292,4.57830738110075
"154",2019,"Fruits & Nuts",34401.676,12.6748548282172
"155",2019,"Grains & Feed",56077.22,20.6609300857899
"156",2019,"Meat & Animal Products",51602.444,19.0122564517266
"157",2019,"Non-commodity crops",36517.008,13.4542216827124
"158",2019,"Oilseeds",55670.548,20.5110970206014
"159",2019,"Poultry & Eggs",10344.098,3.81114979627306
"160",2019,"Vegetables",14377.44,5.29718275357872
"161",2020,"Cotton",12018.163920558,4.15042573437319
"162",2020,"Fruits & Nuts",32506.476,11.2259838870562
"163",2020,"Grains & Feed",61667.3640009448,21.2965820912682
"164",2020,"Meat & Animal Products",53222.6600236936,18.3802367212077
"165",2020,"Non-commodity crops",35185.324,12.1511135284198
"166",2020,"Oilseeds",71040.2079791972,24.533456967393
"167",2020,"Poultry & Eggs",10218.5159671269,3.52892437791762
"168",2020,"Vegetables",13705.894,4.73327669236434
"169",2021,"Cotton",11463.756,3.34961944164711
"170",2021,"Fruits & Nuts",34356.74,10.0387695146002
"171",2021,"Grains & Feed",86680.32,25.3273085261229
"172",2021,"Meat & Animal Products",64867.232,18.9536955804916
"173",2021,"Non-commodity crops",39505.972,11.5433346516069
"174",2021,"Oilseeds",78195.86,22.8482159697324
"175",2021,"Poultry & Eggs",12566.378,3.67179692762883
"176",2021,"Vegetables",14604.292,4.2672593881701
"177",2022,"Cotton",17953.544,4.75320678048481
"178",2022,"Fruits & Nuts",34294.24,9.07941151337995
"179",2022,"Grains & Feed",92332.416,24.4450380264612
"180",2022,"Meat & Animal Products",69900.734,18.5062427122837
"181",2022,"Non-commodity crops",40262.476,10.6595039910954
"182",2022,"Oilseeds",93571.954,24.7732061266574
"183",2022,"Poultry & Eggs",14043.588,3.71804462138145
"184",2022,"Vegetables",15355.396,4.06534622825607
